text,no_char,transformed_text
Probably gonna swing by in a wee bit,36,probabl gon na swing wee bit
Ya very nice. . .be ready on thursday,37,ya nice readi thursday
Allo! We have braved the buses and taken on the trains and triumphed. I mean weÛ÷re in bÛ÷ham. Have a jolly good rest of week,127,allo brave buse taken train triumph mean jolli good rest week
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",92,watch cartoon listen music amp eve go templ amp church u
Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,80,mind ask happen dont say uncomfort
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,136,privat 2003 account statement show 800 point call 08715203694 identifi code 40533 expir
No prob. I will send to your email.,35,prob send email
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",97,cash prize claim call09050000327 c rstm sw7 3ss 150ppm
Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),66,that cool sometim slow gentl sonetim rough hard
I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,119,gon na say sorri would normal start panic time sorri see tuesday
"Wait, do you know if wesleys in town? I bet she does hella drugs!",65,wait know wesley town bet hella drug
Fine i miss you very much.,26,fine miss much
Tell them the drug dealer's getting impatient,45,tell drug dealer get impati
"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng",157,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg gud evng
"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com",94,doesnt make sens take unless free need know
88800 and 89034 are premium phone services call 08718711108,59,88800 89034 premium phone servic call 08718711108
"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '",140,sea lay rock rock envelop envelop paper paper 3 word
Then mum's repent how?,22,mum repent
Sorry me going home first... Daddy come fetch Ì_ later...,57,sorri go home first daddi come fetch later
Leave it de:-). Start Prepare for next:-)..,43,leav de start prepar next
Yes baby! We can study all the positions of the kama sutra ;),61,ye babi studi posit kama sutra
En chikku nange bakra msg kalstiya..then had tea/coffee?,56,en chikku nang bakra msg kalstiya
Carlos'll be here in a minute if you still need to buy,54,carlo minut still need buy
This pay is  &lt;DECIMAL&gt;  lakhs:),37,pay lt decim gt lakh
Have a good evening! Ttyl,25,good even ttyl
Did u receive my msg?,21,u receiv msg
Ho ho - big belly laugh! See ya tomo,36,ho ho big belli laugh see ya tomo
SMS. ac sun0819 posts HELLO:\You seem cool,42,sm ac sun0819 post hello seem cool
Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,154,get ur 1st rington free repli msg tone gr8 top 20 tone phone everi week per wk 2 opt send stop 08452810071 16
"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.",153,ditto wo worri say anyth anymor like said last night whatev want peac
"I've got  &lt;#&gt; , any way I could pick up?",46,got lt gt way could pick
"I dont knw pa, i just drink milk..",34,dont knw pa drink milk
Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,80,mayb say hi find got card great escap wetherspoon
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",69,piggi r u awak bet u still sleep go 4 lunch
Cause I'm not freaky lol,24,caus freaki lol
Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,108,miss call caus yell scrappi miss ca wait u come home lone today
What is this 'hex' place you talk of? Explain!,46,place talk explain
ÌÏ log off 4 wat. It's sdryb8i,30,ìï log 4 wat sdryb8i
Is xy going 4 e lunch?,22,xy go 4 e lunch
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,158,hi sue 20 year old work lapdanc love sex text live bedroom text sue textoper g2 1da 150ppmsg
I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,87,want ask wait 4 finish lect co lect finish hour anyway
Have you finished work yet? :),30,finish work yet
"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8",143,everi king cri babi everi great build map imprtant u r today u wil reach tomorw gud ni8
"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.",169,dear case u r come cochin pl call bfore u shall also reach tell day u r engag an holiday
Thanks love. But am i doing torch or bold.,42,thank love torch bold
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,111,forward 448712404000 pleas call 08712404000 immedi urgent messag wait
Was the farm open?,18,farm open
"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",109,sorri troubl u buy 4d dad 1405 1680 2 big 1 small sat n sun thanx
"My sister in law, hope you are having a great month. Just saying hey. Abiola",76,sister law hope great month say hey abiola
Will purchase d stuff today and mail to you. Do you have a po box number?,73,purchas stuff today mail po box number
Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,92,ah poop look like ill prob send laptop get fix cuz gpu problem
Good. Good job. I like entrepreneurs,36,good good job like entrepreneur
"Aight, you close by or still down around alex's place?",54,aight close still around alex place
meet you in corporation st outside gap Û_ you can see how my mind is working!,78,meet corpor st outsid gap see mind work
Mum ask Ì_ to buy food home...,30,mum ask buy food home
K..u also dont msg or reply to his msg..,40,k u also dont msg repli msg
How much r Ì_ willing to pay?,29,much r will pay
What is important is that you prevent dehydration by giving her enough fluids,77,import prevent dehydr give enough fluid
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",109,that bit weird even suppos happen good idea sure pub
True dear..i sat to pray evening and felt so.so i sms'd you in some time...,75,true dear sat pray even felt sm time
"I don't think I can get away for a trek that long with family in town, sorry",76,think get away trek long famili town sorri
So when do you wanna gym harri,30,wan na gym harri
Quite late lar... Ard 12 anyway i wun b drivin...,49,quit late lar ard 12 anyway wun b drivin
"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",155,review keep fantast nokia game deck club nokia go 2 unsubscrib alert repli word
4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,160,4mth half price orang line rental latest camera phone 4 free phone call mobilesdirect free 08000938767 updat or2stoptxt cs
Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,269,height confid aeronaut professor wer calld amp wer askd 2 sit aeroplan aftr sat wer told dat plane ws made student dey hurri plane bt 1 didnt move said made student
It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,195,seem like weird time night g want come smoke day shitstorm attribut alway come make everyon smoke
08714712388 between 10am-7pm Cost 10p,37,08714712388 cost 10p
"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.",125,save stress person dorm account send account detail money sent
He also knows about lunch menu only da. . I know,48,also know lunch menu da know
When i have stuff to sell i.ll tell you,39,stuff sell tell
+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,163,urgent 2nd attempt contact u u call 09071512433 b4 050703 csbcm4235wc1n3xx callcost 150ppm mobilesvari 50
Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748,121,book lesson msg call work sth go get spec membership px3748
You have WON a guaranteed å£1000 cash or a å£2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm,147,guarante cash prize claim yr prize call custom servic repres 08714712394
Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime,162,macha dont feel assum one even wonder plan life begin anytim
Oh is it? Send me the address,29,oh send address
S'fine. Anytime. All the best with it.,38,anytim best
That is wondar full flim.,25,wondar full flim
Ya even those cookies have jelly on them,40,ya even cooki jelli
"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run.",226,world run feel admit correct let call keep run world may u r also run
Got it! It looks scrumptious... daddy wants to eat you all night long!,70,got look scrumptiou daddi want eat night long
Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...,140,co lar ba dao ok 1 pm lor u never ask go ah said u would ask fri said u ask today
"Alright omw, gotta change my order to a half8th",47,alright omw got ta chang order half8th
Exactly. Anyways how far. Is jide her to study or just visiting,63,exactli anyway far jide studi visit
